from	to	receiver	donor	Smetana score	node attribution	EdgeBetweenness
79	74	Eubacterium_ventriosum_ATCC_27560	Roseburia_hominis_A2_183	0.496800	orange	2
79	73	Eubacterium_ventriosum_ATCC_27560	Roseburia_inulinivorans_DSM_16841	0.260100	orange	2
79	72	Eubacterium_ventriosum_ATCC_27560	Ruminococcus_torques_ATCC_27756	1.919500	orange	2
78	86	Odoribacter_splanchnicus_1651_6_DSM_20712	Alistipes_finegoldii_DSM_17242	0.117273	orange	2
78	85	Odoribacter_splanchnicus_1651_6_DSM_20712	Alistipes_putredinis_DSM_17216	0.043636	orange	2
78	84	Odoribacter_splanchnicus_1651_6_DSM_20712	Blautia_obeum_ATCC_29174	0.120909	orange	2
78	83	Odoribacter_splanchnicus_1651_6_DSM_20712	Dorea_formicigenerans_ATCC_27755	0.772909	orange	2
78	82	Odoribacter_splanchnicus_1651_6_DSM_20712	Dorea_longicatena_DSM_13814	0.130000	orange	2
78	81	Odoribacter_splanchnicus_1651_6_DSM_20712	Eubacterium_eligens_ATCC_27750	3.680000	orange	2
78	80	Odoribacter_splanchnicus_1651_6_DSM_20712	Eubacterium_rectale_ATCC_33656	0.130000	orange	2
78	79	Odoribacter_splanchnicus_1651_6_DSM_20712	Eubacterium_ventriosum_ATCC_27560	0.572000	orange	2
78	77	Odoribacter_splanchnicus_1651_6_DSM_20712	Parabacteroides_distasonis_ATCC_8503	0.583818	orange	2
78	76	Odoribacter_splanchnicus_1651_6_DSM_20712	Parabacteroides_merdae_ATCC_43184	0.605091	orange	2
78	75	Odoribacter_splanchnicus_1651_6_DSM_20712	Roseburia_faecis_M72	0.118182	orange	2
78	74	Odoribacter_splanchnicus_1651_6_DSM_20712	Roseburia_hominis_A2_183	0.150000	orange	2
78	73	Odoribacter_splanchnicus_1651_6_DSM_20712	Roseburia_inulinivorans_DSM_16841	0.143636	orange	2
78	72	Odoribacter_splanchnicus_1651_6_DSM_20712	Ruminococcus_torques_ATCC_27756	0.553091	orange	2
77	86	Parabacteroides_distasonis_ATCC_8503	Eubacterium_eligens_ATCC_27750	3.690000	orange	2
77	81	Parabacteroides_distasonis_ATCC_8503	Parabacteroides_merdae_ATCC_43184	0.893333	orange	2
77	76	Parabacteroides_distasonis_ATCC_8503	Roseburia_hominis_A2_183	0.703333	orange	2
76	81	Parabacteroides_merdae_ATCC_43184	Eubacterium_eligens_ATCC_27750	5.740000	orange	2
75	86	Roseburia_faecis_M72	Alistipes_finegoldii_DSM_17242	0.636400	orange	2
75	85	Roseburia_faecis_M72	Alistipes_putredinis_DSM_17216	0.390000	orange	2
75	84	Roseburia_faecis_M72	Blautia_obeum_ATCC_29174	0.382000	orange	2
75	83	Roseburia_faecis_M72	Dorea_formicigenerans_ATCC_27755	0.409500	orange	2
75	82	Roseburia_faecis_M72	Dorea_longicatena_DSM_13814	0.368000	orange	2
75	81	Roseburia_faecis_M72	Eubacterium_eligens_ATCC_27750	7.910000	orange	2
75	80	Roseburia_faecis_M72	Eubacterium_rectale_ATCC_33656	4.760000	orange	2
75	79	Roseburia_faecis_M72	Eubacterium_ventriosum_ATCC_27560	0.938400	orange	2
75	78	Roseburia_faecis_M72	Odoribacter_splanchnicus_1651_6_DSM_20712	0.980400	orange	2
75	77	Roseburia_faecis_M72	Parabacteroides_distasonis_ATCC_8503	0.636500	orange	2
75	76	Roseburia_faecis_M72	Parabacteroides_merdae_ATCC_43184	2.200000	orange	2
75	74	Roseburia_faecis_M72	Roseburia_hominis_A2_183	1.429700	orange	2
75	73	Roseburia_faecis_M72	Roseburia_inulinivorans_DSM_16841	0.550200	orange	2
75	72	Roseburia_faecis_M72	Ruminococcus_torques_ATCC_27756	0.921600	orange	2
74	86	Roseburia_hominis_A2_183	Alistipes_finegoldii_DSM_17242	0.832200	orange	2
74	85	Roseburia_hominis_A2_183	Alistipes_putredinis_DSM_17216	0.728900	orange	2
74	84	Roseburia_hominis_A2_183	Blautia_obeum_ATCC_29174	0.684000	orange	2
74	83	Roseburia_hominis_A2_183	Dorea_formicigenerans_ATCC_27755	0.839800	orange	2
74	82	Roseburia_hominis_A2_183	Dorea_longicatena_DSM_13814	0.350000	orange	2
74	81	Roseburia_hominis_A2_183	Eubacterium_eligens_ATCC_27750	8.780000	orange	2
74	80	Roseburia_hominis_A2_183	Eubacterium_rectale_ATCC_33656	4.390000	orange	2
74	79	Roseburia_hominis_A2_183	Eubacterium_ventriosum_ATCC_27560	0.717600	orange	2
74	78	Roseburia_hominis_A2_183	Odoribacter_splanchnicus_1651_6_DSM_20712	1.428000	orange	2
74	77	Roseburia_hominis_A2_183	Parabacteroides_distasonis_ATCC_8503	0.896100	orange	2
74	76	Roseburia_hominis_A2_183	Parabacteroides_merdae_ATCC_43184	0.812700	orange	2
74	75	Roseburia_hominis_A2_183	Roseburia_faecis_M72	0.124200	orange	2
74	73	Roseburia_hominis_A2_183	Roseburia_inulinivorans_DSM_16841	0.309600	orange	2
74	72	Roseburia_hominis_A2_183	Ruminococcus_torques_ATCC_27756	1.163800	orange	2
73	86	Roseburia_inulinivorans_DSM_16841	Alistipes_finegoldii_DSM_17242	0.253571	orange	2
73	85	Roseburia_inulinivorans_DSM_16841	Alistipes_putredinis_DSM_17216	0.425000	orange	2
73	84	Roseburia_inulinivorans_DSM_16841	Blautia_obeum_ATCC_29174	0.719643	orange	2
73	83	Roseburia_inulinivorans_DSM_16841	Dorea_formicigenerans_ATCC_27755	0.416071	orange	2
73	82	Roseburia_inulinivorans_DSM_16841	Dorea_longicatena_DSM_13814	0.466071	orange	2
73	81	Roseburia_inulinivorans_DSM_16841	Eubacterium_eligens_ATCC_27750	6.860000	orange	2
73	80	Roseburia_inulinivorans_DSM_16841	Eubacterium_rectale_ATCC_33656	4.660000	orange	2
73	79	Roseburia_inulinivorans_DSM_16841	Eubacterium_ventriosum_ATCC_27560	0.446429	orange	2
73	78	Roseburia_inulinivorans_DSM_16841	Odoribacter_splanchnicus_1651_6_DSM_20712	3.840000	orange	2
73	77	Roseburia_inulinivorans_DSM_16841	Parabacteroides_distasonis_ATCC_8503	0.239286	orange	2
73	76	Roseburia_inulinivorans_DSM_16841	Parabacteroides_merdae_ATCC_43184	3.280000	orange	2
73	75	Roseburia_inulinivorans_DSM_16841	Roseburia_faecis_M72	0.348214	orange	2
73	74	Roseburia_inulinivorans_DSM_16841	Roseburia_hominis_A2_183	0.746429	orange	2
73	72	Roseburia_inulinivorans_DSM_16841	Ruminococcus_torques_ATCC_27756	0.817857	orange	2
72	86	Ruminococcus_torques_ATCC_27756	Alistipes_finegoldii_DSM_17242	0.072727	orange	2
72	85	Ruminococcus_torques_ATCC_27756	Alistipes_putredinis_DSM_17216	0.418182	orange	2
72	84	Ruminococcus_torques_ATCC_27756	Blautia_obeum_ATCC_29174	0.337273	orange	2
72	83	Ruminococcus_torques_ATCC_27756	Dorea_formicigenerans_ATCC_27755	0.150909	orange	2
72	82	Ruminococcus_torques_ATCC_27756	Dorea_longicatena_DSM_13814	0.147273	orange	2
72	81	Ruminococcus_torques_ATCC_27756	Eubacterium_eligens_ATCC_27750	5.770000	orange	2
72	80	Ruminococcus_torques_ATCC_27756	Eubacterium_rectale_ATCC_33656	2.700000	orange	2
72	79	Ruminococcus_torques_ATCC_27756	Eubacterium_ventriosum_ATCC_27560	0.116364	orange	2
72	78	Ruminococcus_torques_ATCC_27756	Odoribacter_splanchnicus_1651_6_DSM_20712	0.810909	orange	2
72	77	Ruminococcus_torques_ATCC_27756	Parabacteroides_distasonis_ATCC_8503	0.110000	orange	2
72	76	Ruminococcus_torques_ATCC_27756	Parabacteroides_merdae_ATCC_43184	0.279091	orange	2
72	75	Ruminococcus_torques_ATCC_27756	Roseburia_faecis_M72	0.108182	orange	2
72	74	Ruminococcus_torques_ATCC_27756	Roseburia_hominis_A2_183	0.345455	orange	2
72	73	Ruminococcus_torques_ATCC_27756	Roseburia_inulinivorans_DSM_16841	0.082727	orange	2
